APPLICATION	TruckMaker 14.0 - Truck_Generic #2 (win64-14.0)
COMPILED	jetbrains@b5882e3d7d42 2024-11-26 13:07:28
 
		I/O Configuration: default
FIRST_INIT	(internal default used)	2025-03-07 16:51:09
TIME	0.000
SIM_END			0s	0m
IDLE	16:51:10
TIME	6.962
SIM_START	TempScenario(Volvo)	2025-03-07 16:52:20
TIME	0.000
SIMULATE	TempScenario(Volvo)

TIME	43.000
		Vel=53.4041   RPM=1257.5912   CDF=0.0000
		Vel=53.3760   RPM=1254.5795   CDF=0.0000
		Vel=53.3475   RPM=1251.5868   CDF=0.0000
		Vel=53.3187   RPM=1248.6132   CDF=0.0000
		Vel=53.2895   RPM=1245.6583   CDF=0.0000
		Vel=53.2601   RPM=1242.7212   CDF=0.0000
		Vel=53.2303   RPM=1239.8007   CDF=0.0000
		Vel=53.2003   RPM=1236.8951   CDF=0.0000
		Vel=53.1700   RPM=1234.0028   CDF=0.0000
		Vel=53.1394   RPM=1231.1217   CDF=0.0000
		Vel=53.1086   RPM=1228.2499   CDF=0.0000
		Vel=53.0776   RPM=1225.3852   CDF=0.0000
		Vel=53.0464   RPM=1222.5255   CDF=0.0000
		Vel=53.0149   RPM=1219.6686   CDF=0.0000
		Vel=52.9832   RPM=1216.8123   CDF=0.0000
		Vel=52.9514   RPM=1213.9547   CDF=0.0000
		Vel=52.9193   RPM=1211.0937   CDF=0.0000
		Vel=52.8871   RPM=1208.2275   CDF=0.0000
		Vel=52.8546   RPM=1205.3543   CDF=0.0000
		Vel=52.8220   RPM=1202.4720   CDF=0.0000
		Vel=52.7892   RPM=1199.5783   CDF=0.0000
		Vel=52.7563   RPM=1196.6711   CDF=0.0000
		Vel=52.7232   RPM=1193.7483   CDF=0.0000
		Vel=52.6900   RPM=1190.8081   CDF=0.0000
		Vel=52.6566   RPM=1187.8491   CDF=0.0000
		Vel=52.6230   RPM=1184.8702   CDF=0.0000
		Vel=52.5893   RPM=1181.8706   CDF=0.0000
		Vel=52.5554   RPM=1178.8499   CDF=0.0000
		Vel=52.5213   RPM=1175.8081   CDF=0.0000
		Vel=52.4870   RPM=1172.7454   CDF=0.0000
		Vel=52.4525   RPM=1169.6625   CDF=0.0000
		Vel=52.4178   RPM=1166.5604   CDF=0.0000
		Vel=52.3829   RPM=1163.4401   CDF=0.0000
		Vel=52.3478   RPM=1160.3031   CDF=0.0000
		Vel=52.3125   RPM=1157.1511   CDF=0.0000
		Vel=52.2769   RPM=1153.9857   CDF=0.0000
		Vel=52.2411   RPM=1150.8088   CDF=0.0000
		Vel=52.2050   RPM=1147.6225   CDF=0.0000
		Vel=52.1686   RPM=1144.4289   CDF=0.0000
		Vel=52.1320   RPM=1141.2299   CDF=0.0000
		Vel=52.0950   RPM=1138.0279   CDF=0.0000
		Vel=52.0578   RPM=1134.8249   CDF=0.0000
		Vel=52.0203   RPM=1131.6231   CDF=0.0000
		Vel=51.9825   RPM=1128.4247   CDF=0.0000
		Vel=51.9444   RPM=1125.2316   CDF=0.0000
		Vel=51.9059   RPM=1122.0459   CDF=0.0000
		Vel=51.8671   RPM=1118.8696   CDF=0.0000
		Vel=51.8280   RPM=1115.7043   CDF=0.0000
		Vel=51.7885   RPM=1112.5516   CDF=0.0000
		Vel=51.7487   RPM=1109.4133   CDF=0.0000
		Vel=51.7085   RPM=1106.2936   CDF=0.0000
		Vel=51.6680   RPM=1103.1915   CDF=0.0000
		Vel=51.6272   RPM=1100.1053   CDF=0.0000
		Vel=51.5861   RPM=1097.0335   CDF=0.0000
		Vel=51.5448   RPM=1093.9740   CDF=0.0000
		Vel=51.5032   RPM=1090.9250   CDF=0.0000
		Vel=51.4613   RPM=1087.8841   CDF=0.0000
		Vel=51.4192   RPM=1084.8506   CDF=0.0000
		Vel=51.3767   RPM=1081.8292   CDF=0.0000
		Vel=51.3341   RPM=1078.8145   CDF=0.0000
		Vel=51.2913   RPM=1075.7999   CDF=0.0000
		Vel=51.2484   RPM=1072.7790   CDF=0.0000
		Vel=51.2054   RPM=1069.7459   CDF=0.0000
		Vel=51.1624   RPM=1066.6945   CDF=0.0000
		Vel=51.1193   RPM=1063.6188   CDF=0.0000
		Vel=51.0762   RPM=1060.5130   CDF=0.0000
		Vel=51.0331   RPM=1057.3716   CDF=0.0000
		Vel=50.9899   RPM=1054.1895   CDF=0.0000
		Vel=50.9468   RPM=1050.9618   CDF=0.0000
		Vel=50.9037   RPM=1047.6841   CDF=0.0000
		Vel=50.8607   RPM=1044.3525   CDF=0.0000
		Vel=50.8177   RPM=1040.9631   CDF=0.0000
		Vel=50.7747   RPM=1037.5106   CDF=0.0000
		Vel=50.7321   RPM=1033.9805   CDF=0.0000
		Vel=50.6895   RPM=1030.3739   CDF=0.0000
		Vel=50.6468   RPM=1026.6939   CDF=0.0000
		Vel=50.6042   RPM=1022.9430   CDF=0.0000
		Vel=50.5615   RPM=1019.1228   CDF=0.0000
		Vel=50.5188   RPM=1015.2320   CDF=0.0000
		Vel=50.4765   RPM=1011.2603   CDF=0.0000
		Vel=50.4342   RPM=1007.2102   CDF=0.0000
		Vel=50.3918   RPM=1003.0852   CDF=0.0000
		Vel=50.3495   RPM=998.8879   CDF=0.0000
		Vel=50.3072   RPM=994.6195   CDF=0.0000
		Vel=50.2649   RPM=990.2812   CDF=0.0000
		Vel=50.2226   RPM=985.8734   CDF=0.0000
		Vel=50.1805   RPM=981.3966   CDF=0.0000
		Vel=50.1384   RPM=976.8510   CDF=0.0000
		Vel=50.0963   RPM=972.2366   CDF=0.0000
		Vel=50.0544   RPM=967.5539   CDF=0.0000
		Vel=50.0125   RPM=962.8034   CDF=0.0000
		Vel=49.9707   RPM=957.9859   CDF=0.0000
		Vel=49.9289   RPM=953.1027   CDF=0.0000
		Vel=49.8871   RPM=948.1557   CDF=0.0000
		Vel=49.8454   RPM=943.1468   CDF=0.0000
		Vel=49.8038   RPM=938.0787   CDF=0.0000
		Vel=49.7621   RPM=932.9541   CDF=0.0000
		Vel=49.7204   RPM=927.7760   CDF=0.0000
		Vel=49.6786   RPM=922.5476   CDF=0.0000
		Vel=49.6369   RPM=917.2724   CDF=0.0000
		Vel=49.5951   RPM=911.9537   CDF=0.0000
		Vel=49.5532   RPM=906.5948   CDF=0.0000
		Vel=49.5113   RPM=901.1992   CDF=0.0000
		Vel=49.4692   RPM=895.7699   CDF=0.0000
		Vel=49.4271   RPM=890.3100   CDF=0.0000
		Vel=49.3848   RPM=884.8224   CDF=0.0000
		Vel=49.3425   RPM=879.3096   CDF=0.0000
		Vel=49.3000   RPM=873.7740   CDF=0.0000
		Vel=49.2575   RPM=868.2176   CDF=0.0000
		Vel=49.2148   RPM=862.6423   CDF=0.0000
		Vel=49.1720   RPM=857.0497   CDF=0.0000
		Vel=49.1291   RPM=851.4411   CDF=0.0000
		Vel=49.0862   RPM=845.8174   CDF=0.0000
		Vel=49.0431   RPM=840.1795   CDF=0.0000
		Vel=48.9999   RPM=834.5281   CDF=0.0000
		Vel=48.9566   RPM=828.8635   CDF=0.0000
		Vel=48.9133   RPM=823.1862   CDF=0.0000
		Vel=48.8698   RPM=817.4961   CDF=0.0000
		Vel=48.8263   RPM=811.7933   CDF=0.0000
		Vel=48.7827   RPM=806.0779   CDF=0.0000
		Vel=48.7389   RPM=800.3496   CDF=0.0000
		Vel=48.6951   RPM=794.6083   CDF=0.0000
		Vel=48.6513   RPM=788.8536   CDF=0.0000
		Vel=48.6073   RPM=783.0853   CDF=0.0000
		Vel=48.5633   RPM=777.3030   CDF=0.0000
		Vel=48.5192   RPM=771.5063   CDF=0.0000
		Vel=48.4750   RPM=765.6948   CDF=0.0000
		Vel=48.4308   RPM=759.8680   CDF=0.0000
		Vel=48.3865   RPM=754.0255   CDF=0.0000
		Vel=48.3422   RPM=748.1670   CDF=0.0000
		Vel=48.2978   RPM=742.2920   CDF=0.0000
		Vel=48.2533   RPM=736.4002   CDF=0.0000
		Vel=48.2088   RPM=730.4912   CDF=0.0000
		Vel=48.1642   RPM=724.5647   CDF=0.0000
		Vel=48.1196   RPM=718.6204   CDF=0.0000
